Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
654,Text,1996-09-01,Grace Abounding to the Chief of Sinners,en,"Bunyan, John, 1628-1688; Copping, Harold, 1863-1932 [Illustrator]","Bunyan, John, 1628-1688; Authors, English -- Early modern, 1500-1700 -- Biography; Puritans -- England -- Biography; Christian biography -- England",PR,Christianity; Category: Biographies; Category: British Literature; Category: Religion/Spirituality
655,Text,2006-01-21,Life and Letters of Robert Browning,en,"Orr, Sutherland, Mrs., 1828-1903; Browning, Robert, 1812-1889","Browning, Robert, 1812-1889; Poets, English -- 19th century -- Biography",PR,"Biographies; Category: Biographies; Category: Essays, Letters & Speeches; Category: British Literature"
656,Text,1996-09-01,Life of Robert Browning,en,"Sharp, William, 1855-1905","Browning, Robert, 1812-1889; Poets, English -- 19th century -- Biography",PR,Category: Poetry; Category: Biographies; Category: British Literature
657,Text,1996-09-01,The Anglo-Saxon Chronicle,en,"Ingram, J. (James), 1774-1850 [Translator]; Giles, J. A. (John Allen), 1808-1884 [Translator]","Great Britain -- History -- Anglo-Saxon period, 449-1066 -- Sources; Anglo-Saxons -- Early works to 1800",DA,Category: History - British; Category: History - Medieval/Middle Ages
658,Text,1996-09-01,The Fall of Troy,en,"Quintus, Smyrnaeus, active 4th century; Way, Arthur S. (Arthur Sanders), 1847-1930 [Translator]","Epic poetry, Greek -- Translations into English; Trojan War -- Poetry; Troy (Extinct city) -- Poetry",PA,"Category: Poetry; Category: Mythology, Legends & Folklore; Category: Classics of Literature"
659,Text,2006-03-18,"Paul the Peddler; Or, The Fortunes of a Young Street Merchant",en,"Alger, Horatio, Jr., 1832-1899",Conduct of life -- Juvenile fiction; New York (N.Y.) -- History -- 19th century -- Juvenile fiction; Business enterprises -- Juvenile fiction,PZ,Children's Fiction; Category: Children & Young Adult Reading; Category: Novels; Category: American Literature
660,Text,1996-09-01,The Gutenberg Webster's Unabridged Dictionary: Section A and B,en,"Project Gutenberg; Webster, Noah, 1758-1843",English language -- Dictionaries,PE,Category: Encyclopedias/Dictionaries/Reference
661,Text,1996-09-01,The Gutenberg Webster's Unabridged Dictionary: Section C,en,"Project Gutenberg; Webster, Noah, 1758-1843",English language -- Dictionaries,PE,Category: Encyclopedias/Dictionaries/Reference
662,Text,1996-09-01,The Gutenberg Webster's Unabridged Dictionary: Section D and E,en,"Project Gutenberg; Webster, Noah, 1758-1843",English language -- Dictionaries,PE,Category: Encyclopedias/Dictionaries/Reference
663,Text,1996-09-01,"The Gutenberg Webster's Unabridged Dictionary: Section F, G and H",en,"Project Gutenberg; Webster, Noah, 1758-1843",English language -- Dictionaries,PE,Category: Encyclopedias/Dictionaries/Reference
664,Text,1996-09-01,"The Gutenberg Webster's Unabridged Dictionary: Section I, J, K, and L",en,"Project Gutenberg; Webster, Noah, 1758-1843",English language -- Dictionaries,PE,Category: Encyclopedias/Dictionaries/Reference
665,Text,1996-09-01,"The Gutenberg Webster's Unabridged Dictionary: Section M, N, and O",en,"Project Gutenberg; Webster, Noah, 1758-1843",English language -- Dictionaries,PE,Category: Encyclopedias/Dictionaries/Reference
666,Text,1996-09-01,The Gutenberg Webster's Unabridged Dictionary: Section P and Q,en,"Project Gutenberg; Webster, Noah, 1758-1843",English language -- Dictionaries,PE,Category: Encyclopedias/Dictionaries/Reference
667,Text,1996-09-01,The Gutenberg Webster's Unabridged Dictionary: Section R,en,"Project Gutenberg; Webster, Noah, 1758-1843",English language -- Dictionaries,PE,Category: Encyclopedias/Dictionaries/Reference
668,Text,1996-09-01,The Gutenberg Webster's Unabridged Dictionary: Section S,en,"Project Gutenberg; Webster, Noah, 1758-1843",English language -- Dictionaries,PE,Category: Language & Communication; Category: Encyclopedias/Dictionaries/Reference
669,Text,1996-09-01,"The Gutenberg Webster's Unabridged Dictionary: Section T, U, V, and W",en,"Project Gutenberg; Webster, Noah, 1758-1843",English language -- Dictionaries,PE,Category: Encyclopedias/Dictionaries/Reference
670,Text,1996-09-01,"The Gutenberg Webster's Unabridged Dictionary: Section X, Y, and Z",en,"Project Gutenberg; Webster, Noah, 1758-1843",English language -- Dictionaries,PE,Category: Encyclopedias/Dictionaries/Reference
671,Text,2006-03-18,"Phil, the Fiddler",en,"Alger, Horatio, Jr., 1832-1899",Violinists -- Juvenile fiction; New York (N.Y.) -- History -- 1865-1898 -- Juvenile fiction; Child abuse -- Juvenile fiction; Runaways -- Juvenile fiction,PZ,Children's Fiction; Category: Children & Young Adult Reading; Category: Novels; Category: American Literature
